Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Credit-G,Small,Recall,TabPFN vs XGBoost,30,0.9083333333333333,0.8421428571428571,0.06619047619047617,0.10167377101268521
Credit-G,Small,Recall,TabPFN vs LightGBM,30,0.9083333333333333,0.9104761904761905,-0.0021428571428571573,0.08919749336139647
Credit-G,Small,Recall,TabPFN vs CatBoost,30,0.9083333333333333,0.9045238095238094,0.003809523809523774,0.06031040202991201
Credit-G,Small,F1,TabPFN vs XGBoost,30,0.8082962151016299,0.7876938972959295,0.020602317805700383,0.03450106922624042
Credit-G,Small,F1,TabPFN vs LightGBM,30,0.8082962151016299,0.8060359625919414,0.002260252509688491,0.028177294378257153
Credit-G,Small,F1,TabPFN vs CatBoost,30,0.8082962151016299,0.8139190961875262,-0.005622881085896325,0.022796375561296225
Credit-G,Small,ROC_AUC,TabPFN vs XGBoost,30,0.6767142857142858,0.637593253968254,0.03912103174603174,0.049722600390898916
Credit-G,Small,ROC_AUC,TabPFN vs LightGBM,30,0.6767142857142858,0.581422619047619,0.09529166666666662,0.07454859554072876
Credit-G,Small,ROC_AUC,TabPFN vs CatBoost,30,0.6767142857142858,0.692186507936508,-0.015472222222222243,0.03850593838319893
Credit-G,Medium,Accuracy,TabPFN vs XGBoost,20,0.7365,0.71675,0.019750000000000007,0.021913406134625734
Credit-G,Medium,Accuracy,TabPFN vs LightGBM,20,0.7365,0.7157500000000001,0.020750000000000008,0.029167167915492363
Credit-G,Medium,Accuracy,TabPFN vs CatBoost,20,0.7365,0.73725,-0.0007499999999999951,0.03057669391098908
Credit-G,Medium,Precision,TabPFN vs XGBoost,20,0.7892928905538334,0.7868286750561417,0.0024642154976916965,0.019732360981953762
Credit-G,Medium,Precision,TabPFN vs LightGBM,20,0.7892928905538334,0.7874622777148079,0.0018306128390255083,0.021862790833651575
Credit-G,Medium,Precision,TabPFN vs CatBoost,20,0.7892928905538334,0.7744828055377395,0.014810085016094005,0.018302211238343018
Credit-G,Medium,Recall,TabPFN vs XGBoost,20,0.8521428571428571,0.8167857142857142,0.035357142857142865,0.029265534951249648
Credit-G,Medium,Recall,TabPFN vs LightGBM,20,0.8521428571428571,0.8135714285714286,0.038571428571428576,0.04063142868245786
Credit-G,Medium,Recall,TabPFN vs CatBoost,20,0.8521428571428571,0.8825000000000001,-0.030357142857142867,0.038281772325400386
