Dataset,Samples,Baseline,Metric,TabPFN_Mean,Baseline_Mean,Difference
Adult,4000,LightGBM,Precision,0.7460773700442745,0.7296711679926926,0.016406202051581942
Adult,4000,LightGBM,Recall,0.6120615911035073,0.6266894781864842,-0.01462788708297691
Adult,4000,LightGBM,F1,0.6723403929658003,0.6740184307737067,-0.0016780378079064295
Adult,4000,LightGBM,ROC_AUC,0.9097692325136911,0.9068048227899699,0.0029644097237212508
Adult,4000,CatBoost,Accuracy,0.8572627699866926,0.8622991094277819,-0.005036339441089277
Adult,4000,CatBoost,Precision,0.7460773700442745,0.764358724919412,-0.01828135487513749
Adult,4000,CatBoost,Recall,0.6120615911035073,0.6142001710863987,-0.002138579982891353
Adult,4000,CatBoost,F1,0.6723403929658003,0.6809824333892321,-0.008642040423431863
Adult,4000,CatBoost,ROC_AUC,0.9097692325136911,0.9136306083259974,-0.003861375812306278
Adult,6000,XGBoost,Accuracy,0.8594943187634353,0.8549288565871634,0.004565462176271851
Adult,6000,XGBoost,Precision,0.7504216337336962,0.7260935364723352,0.02432809726136098
Adult,6000,XGBoost,Recall,0.6189050470487596,0.63267750213858,-0.01377245508982039
Adult,6000,XGBoost,F1,0.6782515236952517,0.6760787766149268,0.0021727470803248883
Adult,6000,XGBoost,ROC_AUC,0.91220555025827,0.9082063394981766,0.003999210760093352
Adult,6000,LightGBM,Accuracy,0.8594943187634353,0.8591462790459617,0.00034803971747354723
Adult,6000,LightGBM,Precision,0.7504216337336962,0.7381751718363466,0.01224646189734957
Adult,6000,LightGBM,Recall,0.6189050470487596,0.6379811804961506,-0.019076133447391008
Adult,6000,LightGBM,F1,0.6782515236952517,0.6843098599965948,-0.006058336301343115
Adult,6000,LightGBM,ROC_AUC,0.91220555025827,0.913573544991452,-0.0013679947331820541
Adult,6000,CatBoost,Accuracy,0.8594943187634353,0.8662708567918926,-0.006776538028457346
Adult,6000,CatBoost,Precision,0.7504216337336962,0.7718716788369082,-0.021450045103212023
Adult,6000,CatBoost,Recall,0.6189050470487596,0.626518391787853,-0.007613344739093364
Adult,6000,CatBoost,F1,0.6782515236952517,0.6915648968892875,-0.013313373194035805
Adult,6000,CatBoost,ROC_AUC,0.91220555025827,0.918189717801838,-0.005984167543568009
Adult,8000,XGBoost,Accuracy,0.8596581021598937,0.8573856075340363,0.0022724946258574352
Adult,8000,XGBoost,Precision,0.7514902717910612,0.733583091772992,0.017907180018069235
Adult,8000,XGBoost,Recall,0.6180496150556031,0.6348160821214713,-0.016766467065868262
Adult,8000,XGBoost,F1,0.6782471344213208,0.6805407172608903,-0.0022935828395694857
Adult,8000,XGBoost,ROC_AUC,0.9127878506784806,0.9109986037498796,0.0017892469286009405
Adult,8000,LightGBM,Accuracy,0.8596581021598937,0.8631589722591873,-0.0035008700992935626
Adult,8000,LightGBM,Precision,0.7514902717910612,0.7520235843490573,-0.0005333125579960463
Adult,8000,LightGBM,Recall,0.6180496150556031,0.6391787852865697,-0.02112917023096661
Adult,8000,LightGBM,F1,0.6782471344213208,0.6909340357756839,-0.012686901354363123
Adult,8000,LightGBM,ROC_AUC,0.9127878506784806,0.9169324940867444,-0.004144643408263815
Adult,8000,CatBoost,Accuracy,0.8596581021598937,0.8671716654724128,-0.007513563312519067
Adult,8000,CatBoost,Precision,0.7514902717910612,0.7746300002150877,-0.02313972842402645
Adult,8000,CatBoost,Recall,0.6180496150556031,0.6276304533789563,-0.009580838323353214
Adult,8000,CatBoost,F1,0.6782471344213208,0.6933891836369985,-0.015142049215677744
Adult,8000,CatBoost,ROC_AUC,0.9127878506784806,0.9204470003415512,-0.007659149663070686
Adult,12000,XGBoost,Accuracy,0.8607841130105436,0.8620329614085372,-0.0012488483979936627
Adult,12000,XGBoost,Precision,0.7544095034451577,0.7455638078576426,0.008845695587515023
Adult,12000,XGBoost,Recall,0.6202737382378101,0.6429426860564585,-0.022668947818648477
Adult,12000,XGBoost,F1,0.6807757360515477,0.6904572284821794,-0.009681492430631655
Adult,12000,XGBoost,ROC_AUC,0.9141423594934821,0.9155318695327495,-0.0013895100392673498
Adult,12000,LightGBM,Accuracy,0.8607841130105436,0.8656566690551746,-0.0048725560446309935
Adult,12000,LightGBM,Precision,0.7544095034451577,0.7573862220165056,-0.0029767185713479583
Adult,12000,LightGBM,Recall,0.6202737382378101,0.6455945252352439,-0.025320786997433786
Adult,12000,LightGBM,F1,0.6807757360515477,0.6969685796739077,-0.016192843622359954
Adult,12000,LightGBM,ROC_AUC,0.9141423594934821,0.9207374224387029,-0.006595062945220831
Adult,12000,CatBoost,Accuracy,0.8607841130105436,0.8705087521752481,-0.009724639164704563
Adult,12000,CatBoost,Precision,0.7544095034451577,0.7822893573183881,-0.027879853873230442
Adult,12000,CatBoost,Recall,0.6202737382378101,0.6359281437125748,-0.01565440547476471
Adult,12000,CatBoost,F1,0.6807757360515477,0.7015454733787514,-0.020769737327203663
